gene_name,fit_type,R2,R2_linear,coeff_0,coeff_1,coeff_2
Smurf2,quadratic,1.0,0.38228249819724136,8.858215769230766e-05,0.0007659285653846153,0.022577106999999996
Vkorc1l1,linear,0.989750822082619,0.989750822082619,-0.0011731209235993213,0.047081858050933754,
Mark2,quadratic,1.0,0.7891397073045613,-3.733971684981687e-05,0.0004928657805860804,0.036456473
Phc1,linear,0.9747128100359305,0.9747128100359305,0.002729860284380305,0.05361190852292017,
Herc3,quadratic,1.0,0.007712843423731908,-0.0012649763069597071,-0.0020534264710622757,0.2824483
Prpf4b,quadratic,1.0,0.0629341350230056,0.00020472689681318683,5.129997219780268e-05,0.0050412808
Gtf3c1,quadratic,1.0,0.05561775386281209,-0.00024502405476190496,-9.3804288095239e-05,0.061565027000000015
Nectin3,quadratic,1.0,0.7830222212048898,-0.0001704099391941396,-0.0029960940212454207,0.101865776
Trak2,quadratic,1.0,0.40783845202841784,-0.00023057289842490865,-0.002073654809706961,0.06620618000000003
Abcc1,quadratic,1.0,0.00441745641032798,-0.0007769892847985352,-0.001395716605311357,0.1891519
