combined_rank,gene_name,rank_s1,stream1_score,rank_s2,stream2_score,combined_score,evidence
204,Ung,104.0,0.0295805380103077,201.0,,0.007295254496747034,canales_only
205,Cfap126,201.0,,106.0,0.4985968726064436,0.007204543321130198,kalish_only
206,Cep55,106.0,0.0293372864205366,201.0,,0.007204543321130198,canales_only
207,9930111J21Rik2,201.0,,107.0,0.4979488617095217,0.007160459385316408,kalish_only
208,Ccna2,107.0,0.0292468007727971,201.0,,0.007160459385316408,canales_only
209,Gm16685,201.0,,108.0,0.495579119510903,0.007117191818684356,kalish_only
210,Ccnb1,108.0,0.0291903015711263,201.0,,0.007117191818684356,canales_only
211,Alms1,201.0,,109.0,0.495297887757707,0.007074718152357479,kalish_only
212,Caln1,110.0,0.0287941381793426,201.0,,0.0070330167345092716,canales_only
213,Gm28826,201.0,,110.0,0.4944268815799277,0.0070330167345092716,kalish_only
214,Nup54,201.0,,111.0,0.4937847869305513,0.006992066693559231,kalish_only
215,Penk,111.0,0.0287761981466011,201.0,,0.006992066693559231,canales_only
216,Fam175a,201.0,,112.0,0.4928342969021836,0.00695184790334044,kalish_only
217,A830018L16Rik,112.0,0.0287295661954762,201.0,,0.00695184790334044,canales_only
218,P4ha1,113.0,0.028630413202924,201.0,,0.006912340950116673,canales_only
219,Kcnk6,201.0,,113.0,0.4900795180918278,0.006912340950116673,kalish_only
220,Tagln,201.0,,114.0,0.4895804338777523,0.006873527101335428,kalish_only
221,Fbxo5,114.0,0.0285781777185979,201.0,,0.006873527101335428,canales_only
222,Sidt1,201.0,,115.0,0.4893753499972461,0.006835388276011248,kalish_only
223,Rad51,115.0,0.0285510321912638,201.0,,0.006835388276011248,canales_only
224,1500015O10Rik,201.0,,116.0,0.4882239703598771,0.006797907016640933,kalish_only
225,Tgif1,116.0,0.0285075206029519,201.0,,0.006797907016640933,canales_only
226,Tacc3,117.0,0.0285024384351922,201.0,,0.006761066462559,canales_only
227,Adtrp,201.0,,117.0,0.4875971807407653,0.006761066462559,kalish_only
228,Lsamp,118.0,0.0284954669816738,201.0,,0.006724850324647947,canales_only
229,Lrrc14b,201.0,,118.0,0.4864604333265414,0.006724850324647947,kalish_only
230,Cdca2,119.0,0.0284454980502664,201.0,,0.006689242861323634,canales_only
231,A430073D23Rik,201.0,,119.0,0.4864035160185035,0.006689242861323634,kalish_only
232,Pifo,201.0,,120.0,0.4861763900283849,0.006654228855721393,kalish_only
233,Kif2c,120.0,0.0284092468758586,201.0,,0.006654228855721393,canales_only
234,Gmnn,121.0,0.0279708211660292,201.0,,0.006619793594013404,canales_only
235,Mme,201.0,,121.0,0.4861159667703958,0.006619793594013404,kalish_only
236,Folr1,201.0,,122.0,0.4859123907811141,0.0065859228447924315,kalish_only
237,Cdca7l,122.0,0.0279014802905087,201.0,,0.0065859228447924315,canales_only
238,Gm26562,201.0,,123.0,0.4857662414683831,0.006552602839461231,kalish_only
239,Htr5a,123.0,0.0278838754121508,201.0,,0.006552602839461231,canales_only
240,Gm12018,201.0,,124.0,0.4850667346567157,0.006519820253570855,kalish_only
241,Nov,124.0,0.0277255560638776,201.0,,0.006519820253570855,canales_only
242,Rad54l,125.0,0.0276418157891114,201.0,,0.006487562189054726,canales_only
243,Gadd45b,201.0,,125.0,0.4849252675906765,0.006487562189054726,kalish_only
244,Aspm,126.0,0.0274294184832693,201.0,,0.006455816157308694,canales_only
245,Ctsk,201.0,,126.0,0.4846756608734005,0.006455816157308694,kalish_only
246,Gm16014,201.0,,127.0,0.4846582903304178,0.006424570063070474,kalish_only
247,2610307P16Rik,127.0,0.0273861486211206,201.0,,0.006424570063070474,canales_only
248,Gm21319,201.0,,128.0,0.4820936892550093,0.006393812189054726,kalish_only
249,Sgol1,128.0,0.0273853550390909,201.0,,0.006393812189054726,canales_only
250,Gabrb1,129.0,0.027326308129033,201.0,,0.006363531181302788,canales_only
251,Gm13684,201.0,,129.0,0.4817485136370316,0.006363531181302788,kalish_only
252,Fgf10,130.0,0.0272872213246056,201.0,,0.006333716035208573,canales_only
253,Csf1r,201.0,,130.0,0.4812882908850902,0.006333716035208573,kalish_only
254,Pole2,131.0,0.0272027676584048,201.0,,0.006304356082184498,canales_only
