gene_name,log2FC_E12.5,log2FC_E14.5,log2FC_E17.5,log2FC_P0
1100001G20Rik,0.0007131407338802995,0.0033873966728253722,-0.02424330503994838,-9.223133537638053e-05
1110001J03Rik,0.0627693040641017,-0.5159438114461224,0.2093171201816611,0.027980259088426794
1110002L01Rik,-0.45640191255730933,-0.37688851015662617,0.022406599799448534,-0.25816165228786564
1110004E09Rik,-0.21287023601478489,-0.19896490419128832,0.09814380031039996,0.054131054463266
1110004F10Rik,0.15336445914450422,-0.30662984505145424,0.04201293592701792,-0.13733987853554938
1110006O24Rik,-0.16307843292035207,-0.14558892972688006,-0.2850197926143482,0.15785168490330181
1110007C09Rik,0.3432513808285189,0.26081937754615375,-0.3066712458911963,0.1472159556160745
1110008F13Rik,-0.3056540508088919,-0.2387485136046155,0.17073492573078153,0.08238129169817016
1110008L16Rik,-0.12066453283189502,-0.03488447773637985,-0.14553850553460962,0.002903677535406277
1110008P14Rik,-0.20126648204442907,-0.13746823151544815,0.46407552210336883,-0.08164323672454497
1110012L19Rik,-0.06989923461718525,-0.3220203391757619,0.16818546590479658,-0.15791876253761913
1110015O18Rik,-0.05675219901471153,-0.3699996417503221,-0.19488269250768847,-0.23836385483526376
1110017D15Rik,0.05733615456759667,0.21828410869752848,-0.008010302364530634,0.4505655935026935
1110019D14Rik,-0.6465087096402816,-0.0836270491063366,-0.1457169987187427,0.25323264884967334
1110020A21Rik,-0.07682343870067701,-0.17877047847968183,-0.17536905742667525,0.10338636967722362
1110025L11Rik,0.0,0.0,0.0,0.0
1110028F11Rik,0.0019095015694052335,0.0055802033568857455,-0.029603520492462565,-0.005740501834348827
1110028F18Rik,0.005893123201684896,0.0,0.0,0.0
1110032A03Rik,-0.17354988077104588,-0.09654189416773995,-0.2339706196168027,0.08386823495610299
1110032F04Rik,-0.38135171334547363,0.08947128972709888,0.21100446052443347,0.18983535651081512
1110034G24Rik,-0.14635774366189933,-0.2653229999276747,0.10481115163024125,0.07170649558793392
1110036E04Rik,0.0,-0.004322373087268162,0.0,0.0
1110037F02Rik,-0.26071192988458225,-0.09277778865016571,-0.2916985210105833,0.09016526451368347
